"","dataBlack.vage"
"1",57
"2",23
"3",37
"4",35
"5",23
"6",60
"7",24
"8",61
"9",21
"10",25
"11",28
"12",65
"13",22
"14",34
"15",22
"16",24
"17",31
"18",47
"19",50
"20",23
"21",47
"22",41
"23",41
"24",31
"25",58
"26",31
"27",26
"28",28
"29",21
"30",68
"31",31
"32",40
"33",22
"34",28
"35",37
"36",18
"37",32
"38",28
"39",33
"40",27
"41",38
"42",32
"43",37
"44",31
"45",48
"46",32
"47",24
"48",39
"49",25
"50",36
"51",48
"52",36
"53",30
"54",31
"55",21
"56",21
"57",30
"58",26
"59",61
"60",31
"61",28
"62",21
"63",24
"64",31
"65",55
"66",31
"67",27
"68",25
"69",49
"70",18
"71",32
"72",38
"73",49
"74",33
"75",39
"76",27
"77",53
"78",31
"79",31
"80",17
"81",43
"82",18
"83",26
"84",33
"85",24
"86",50
"87",28
"88",21
"89",23
"90",62
"91",30
"92",33
"93",37
"94",52
"95",33
"96",18
"97",27
"98",25
"99",19
"100",51
"101",39
"102",27
"103",18
"104",49
"105",19
"106",45
"107",21
"108",16
"109",52
"110",42
"111",41
"112",38
"113",31
"114",17
"115",28
"116",19
"117",35
"118",52
"119",23
"120",28
"121",49
"122",20
"123",22
"124",46
"125",32
"126",23
"127",43
"128",28
"129",39
"130",23
"131",67
"132",34
"133",37
"134",50
"135",32
"136",19
"137",74
"138",53
"139",20
"140",28
"141",18
"142",18
"143",42
"144",22
"145",17
"146",20
"147",27
"148",19
"149",24
"150",20
"151",40
"152",24
"153",26
"154",27
"155",43
"156",41
"157",23
"158",35
"159",40
"160",32
"161",21
"162",44
"163",30
"164",26
"165",22
"166",45
"167",26
"168",32
"169",36
"170",40
"171",47
"172",30
"173",44
"174",36
"175",30
"176",49
"177",25
"178",17
"179",23
"180",NA
"181",32
"182",43
"183",33
"184",28
"185",34
"186",34
"187",27
"188",33
"189",37
"190",24
"191",35
"192",19
"193",31
"194",31
"195",25
"196",30
"197",38
"198",39
"199",30
"200",27
"201",18
"202",57
"203",22
"204",19
"205",29
"206",22
"207",27
"208",21
"209",48
"210",41
"211",32
"212",30
"213",25
"214",NA
"215",36
"216",22
"217",40
"218",30
"219",39
"220",24
"221",31
"222",32
"223",20
"224",45
"225",31
"226",37
"227",58
"228",24
"229",34
"230",20
"231",38
"232",43
"233",31
"234",44
"235",46
"236",27
"237",29
"238",46
"239",21
"240",31
"241",30
"242",18
"243",22
"244",42
"245",45
"246",38
"247",39
"248",62
"249",26
"250",19
"251",20
"252",71
"253",26
"254",36
"255",32
"256",33
"257",20
"258",35
"259",28
"260",44
"261",35
"262",17
"263",35
"264",31
"265",27
"266",32
"267",47
"268",42
"269",29
"270",27
"271",47
"272",23
"273",24
"274",16
"275",53
"276",33
"277",23
"278",65
"279",30
"280",43
"281",35
"282",23
"283",21
"284",48
"285",33
"286",27
"287",18
"288",25
"289",22
"290",24
"291",47
"292",26
"293",39
"294",36
"295",29
"296",33
"297",35
"298",24
"299",30
"300",28
"301",30
"302",28
"303",18
"304",27
"305",21
"306",63
"307",19
"308",19
"309",18
"310",22
"311",27
"312",22
"313",47
"314",31
"315",31
"316",45
"317",38
"318",36
"319",36
"320",27
"321",23
"322",41
"323",29
"324",37
"325",34
"326",29
"327",31
"328",19
"329",53
"330",46
"331",23
"332",38
"333",39
"334",24
"335",28
"336",19
"337",26
"338",23
"339",21
"340",24
"341",17
"342",50
"343",20
"344",25
"345",36
"346",33
"347",21
"348",21
"349",30
"350",33
"351",48
"352",40
"353",28
"354",48
"355",30
"356",40
"357",48
"358",52
"359",54
"360",62
"361",59
"362",39
"363",34
"364",41
"365",27
"366",41
"367",35
"368",25
"369",60
"370",25
"371",29
"372",20
"373",25
"374",68
"375",37
"376",37
"377",43
"378",33
"379",40
"380",NA
"381",19
"382",39
"383",30
"384",25
"385",32
"386",33
"387",21
"388",17
"389",33
"390",37
"391",18
"392",33
"393",32
"394",34
"395",26
"396",22
"397",41
"398",36
"399",28
"400",24
"401",43
"402",39
"403",42
"404",23
"405",46
"406",47
"407",24
"408",24
"409",29
"410",30
"411",32
"412",24
"413",67
"414",64
"415",36
"416",42
"417",21
"418",37
"419",25
"420",48
"421",31
"422",48
"423",25
"424",41
"425",39
"426",39
"427",30
"428",45
"429",25
"430",30
"431",25
"432",20
"433",26
"434",34
"435",56
"436",41
"437",60
"438",34
"439",41
"440",60
"441",19
"442",39
"443",41
"444",30
"445",34
"446",24
"447",35
"448",23
"449",49
"450",27
"451",31
"452",27
"453",46
"454",34
"455",20
"456",16
"457",37
"458",19
"459",NA
"460",41
"461",NA
"462",40
"463",48
"464",29
"465",40
"466",25
"467",37
"468",26
"469",39
"470",22
"471",37
"472",21
"473",37
"474",45
"475",24
"476",NA
"477",30
"478",32
"479",29
"480",39
"481",48
"482",36
"483",39
"484",16
"485",NA
"486",31
"487",37
"488",33
"489",52
"490",31
"491",33
"492",21
"493",45
"494",43
"495",20
"496",38
"497",61
"498",31
"499",33
"500",72
"501",26
"502",29
"503",34
"504",35
"505",21
"506",22
"507",43
"508",23
"509",21
"510",20
"511",17
"512",38
"513",54
"514",40
"515",28
"516",28
"517",35
"518",30
"519",21
"520",25
"521",28
"522",24
"523",48
"524",52
"525",20
"526",26
"527",34
"528",54
"529",42
"530",24
"531",32
"532",42
"533",24
"534",26
"535",32
"536",17
"537",56
"538",46
"539",68
"540",NA
"541",51
"542",67
"543",24
"544",41
"545",43
"546",NA
"547",25
"548",25
"549",35
"550",49
"551",24
"552",20
"553",27
"554",22
"555",19
"556",21
"557",23
"558",46
"559",47
"560",33
"561",33
"562",20
"563",42
"564",55
"565",23
"566",24
"567",20
"568",42
"569",35
"570",24
"571",22
"572",48
"573",37
"574",22
"575",27
"576",28
"577",30
"578",40
"579",NA
"580",45
"581",32
"582",46
"583",31
"584",25
"585",21
"586",26
"587",41
"588",31
"589",25
"590",37
"591",31
"592",17
"593",55
"594",24
"595",27
"596",15
"597",18
"598",30
"599",47
"600",24
"601",30
"602",51
"603",32
"604",25
"605",34
"606",37
"607",50
"608",46
"609",31
"610",20
"611",17
"612",28
"613",34
"614",47
"615",33
"616",15
"617",29
"618",27
"619",35
"620",37
"621",32
"622",28
"623",34
"624",31
"625",39
"626",25
"627",16
"628",27
"629",25
"630",23
"631",47
"632",54
"633",27
"634",23
"635",58
