,state,Freq,q,lat,lon,,,,
1,AK,4,1st Quantile,58.3019,-134.419,,,,
2,AL,52,3rd Quantile,32.3669656,-86.3006485,,,,
3,AR,29,2nd Quantile,34.7464809,-92.2895948,,,,
4,AZ,31,3rd Quantile,33.4467681,-112.0756724,,,,
5,CA,186,4th Quantile,34.053717,-118.2427266,,,,
6,CO,21,2nd Quantile,39.7391536,-104.9847034,,, ,
7,CT,7,1st Quantile,41.1670412,-73.2048348,,, , 
8,DC,23,2nd Quantile,38.8949549,-77.0366456,, ,,
9,DE,9,1st Quantile,39.7459468,-75.546589,, ,,
10,FL,169,4th Quantile,30.3321838,-81.655651,,,,
11,GA,98,4th Quantile,33.7490987,-84.3901849,,,,
12,HI,1,1st Quantile,21.3069,-157.8583,,,,
13,IA,6,1st Quantile,41.5910641,-93.6037149,,,,
14,ID,1,1st Quantile,43.5988375,-116.243255,,,,
15,IL,96,4th Quantile,41.8755546,-87.6244212,,,,
16,IN,40,3rd Quantile,39.7683331,-86.1583502,,,,
17,KS,11,2nd Quantile,37.6922361,-97.3375448,,,,
18,KY,19,2nd Quantile,38.2542376,-85.759407,,,,
19,LA,80,4th Quantile,29.9499323,-90.0701156,,,,
20,MA,15,2nd Quantile,42.3604823,-71.0595678,,,,
21,MD,80,4th Quantile,39.2908608,-76.6108073,,,,
22,ME,1,1st Quantile,43.6414716,-70.2408811,,,,
23,MI,42,3rd Quantile,42.3486635,-83.0567375,,,,
24,MN,17,2nd Quantile,44.9772995,-93.2654692,,,,
25,MO,74,4th Quantile,38.6272733,-90.1978889,,,,
26,MS,41,3rd Quantile,32.2990384,-90.1847691,,,,
27,NC,77,4th Quantile,35.2270869,-80.8431268,,,,
28,NE,8,1st Quantile,41.2587317,-95.9378732,,,,
29,NJ,51,3rd Quantile,40.2170575,-74.7429463,,,,
30,NM,4,1st Quantile,35.0841034,-106.6509851,,,,
31,NV,21,2nd Quantile,36.1662859,-115.149225,,,,
32,NY,71,4th Quantile,40.730599,-73.9865812,,,,
33,OH,80,4th Quantile,41.5051613,-81.6934446,,,,
34,OK,51,3rd Quantile,35.4729886,-97.5170536,,,,
35,OR,9,1st Quantile,45.5202471,-122.6741949,,,,
36,PA,58,3rd Quantile,39.952335,-75.163789,,,,
37,RI,3,1st Quantile,41.8239891,-71.4128343, ,,,
38,SC,38,3rd Quantile,32.7876012,-79.9402728,,,,
39,TN,41,3rd Quantile,36.187025,-86.78086153,,,,
40,TX,157,4th Quantile,29.7589382,-95.3676974,,,,
41,UT,8,1st Quantile,40.7670126,-111.8904308,,,,
42,VA,52,3rd Quantile,37.5385087,-77.43428,, ,,
43,WA,25,2nd Quantile,47.6038321,-122.3300624,,,,
44,WI,27,2nd Quantile,43.074761,-89.3837613,,,,
45,WV,10,2nd Quantile,38.368429,-81.69957,,,,
